code,description,category,is_chronic
109838007,Overlapping malignant neoplasm of colon,oncology,true
443165006,Pathological fracture due to osteoporosis (disorder),musculoskeletal,false
446096008,Perennial allergic rhinitis,allergic,true
232353008,Perennial allergic rhinitis with seasonal variation,allergic,true
233604007,Pneumonia,infectious,false
68496003,Polyp of colon,gastrointestinal,false
15777000,Prediabetes,metabolic_endocrine,true
398254007,Preeclampsia,pregnancy_reproductive,false
95417003,Primary fibromyalgia syndrome,musculoskeletal,true
93761005,Primary malignant neoplasm of colon,oncology,true
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),oncology,true
1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),metabolic_endocrine,true
236077008,Protracted diarrhea,gastrointestinal,false
87433001,Pulmonary emphysema (disorder),respiratory,true
45816000,Pyelonephritis,infectious,false
713197008,Recurrent rectal polyp,gastrointestinal,true
197927001,Recurrent urinary tract infection,infectious,true
69896004,Rheumatoid arthritis,musculoskeletal,true
47693006,Rupture of appendix,gastrointestinal,false
30832001,Rupture of patellar tendon,injury,false
367498001,Seasonal allergic rhinitis,allergic,true
403191005,Second degree burn,injury,false
94260004,Secondary malignant neoplasm of colon,oncology,true
128613002,Seizure disorder,neurological,true
36971009,Sinusitis (disorder),infectious,false
254632001,Small cell carcinoma of lung (disorder),oncology,true
449868002,Smokes tobacco daily,mental_behavioral,true
44465007,Sprain of ankle,injury,false
70704007,Sprain of wrist,injury,false
43878008,Streptococcal sore throat (disorder),infectious,false
230690007,Stroke,cardiovascular,false
162573006,Suspected lung cancer (situation),oncology,false
239720000,Tear of meniscus of knee,injury,false
79586000,Tubal pregnancy,pregnancy_reproductive,false
444814009,Viral sinusitis (disorder),infectious,false
39848009,Whiplash injury to neck,injury,false
